SYSTEM: Camera started
SYSTEM: Camera started
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:2 | PASS:0 | FAIL:2 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
TOTAL:1 | PASS:0 | FAIL:1 | STATUS:NO_DATA
